+-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------+
|     | Name                                                  | Shape             |   NNZ (dense) |   NNZ (sparse) |   Cols (%) |   Rows (%) |   Ch (%) |   2D (%) |   3D (%) |   Fine (%) |     Std |     Mean |   Abs-Mean |
|  35 | module.features.denseblock2.denselayer11.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00258 | -0.00003 |    0.00136 |
|  36 | module.features.denseblock2.denselayer12.conv1.weight | (128, 480, 1, 1)  |         61440 |          61440 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00208 | -0.00004 |    0.00078 |
|  37 | module.features.denseblock2.denselayer12.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00213 |  0.00002 |    0.00099 |
|  38 | module.features.transition2.conv.weight               | (256, 512, 1, 1)  |        131072 |         131072 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00301 | -0.00010 |    0.00171 |
|  39 | module.features.denseblock3.denselayer1.conv1.weight  | (128, 256, 1, 1)  |         32768 |          32768 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00114 | -0.00001 |    0.00022 |
|  40 | module.features.denseblock3.denselayer1.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00122 |  0.00008 |    0.00034 |
|  41 | module.features.denseblock3.denselayer2.conv1.weight  | (128, 288, 1, 1)  |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00120 | -0.00002 |    0.00023 |
|  42 | module.features.denseblock3.denselayer2.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00135 |  0.00009 |    0.00042 |
|  43 | module.features.denseblock3.denselayer3.conv1.weight  | (128, 320, 1, 1)  |         40960 |          40960 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00104 | -0.00000 |    0.00017 |
|  44 | module.features.denseblock3.denselayer3.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00130 |  0.00002 |    0.00030 |
|  45 | module.features.denseblock3.denselayer4.conv1.weight  | (128, 352, 1, 1)  |         45056 |          45056 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00105 |  0.00000 |    0.00015 |
|  46 | module.features.denseblock3.denselayer4.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00109 |  0.00001 |    0.00022 |
|  47 | module.features.denseblock3.denselayer5.conv1.weight  | (128, 384, 1, 1)  |         49152 |          49152 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00048 |  0.00000 |    0.00002 |
|  48 | module.features.denseblock3.denselayer5.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00058 | -0.00000 |    0.00003 |
|  49 | module.features.denseblock3.denselayer6.conv1.weight  | (128, 416, 1, 1)  |         53248 |          53248 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00095 |  0.00001 |    0.00016 |
|  50 | module.features.denseblock3.denselayer6.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00115 |  0.00001 |    0.00028 |
|  51 | module.features.denseblock3.denselayer7.conv1.weight  | (128, 448, 1, 1)  |         57344 |          57344 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00074 |  0.00002 |    0.00006 |
|  52 | module.features.denseblock3.denselayer7.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00078 |  0.00001 |    0.00013 |
|  53 | module.features.denseblock3.denselayer8.conv1.weight  | (128, 480, 1, 1)  |         61440 |          61440 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00097 |  0.00002 |    0.00013 |
|  54 | module.features.denseblock3.denselayer8.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00105 | -0.00001 |    0.00020 |
|  55 | module.features.denseblock3.denselayer9.conv1.weight  | (128, 512, 1, 1)  |         65536 |          65536 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00092 |  0.00001 |    0.00010 |
|  56 | module.features.denseblock3.denselayer9.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00093 |  0.00001 |    0.00014 |
|  57 | module.features.denseblock3.denselayer10.conv1.weight | (128, 544, 1, 1)  |         69632 |          69632 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00078 |  0.00002 |    0.00008 |
|  58 | module.features.denseblock3.denselayer10.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00087 | -0.00001 |    0.00015 |
|  59 | module.features.denseblock3.denselayer11.conv1.weight | (128, 576, 1, 1)  |         73728 |          73728 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00087 |  0.00001 |    0.00010 |
|  60 | module.features.denseblock3.denselayer11.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00098 |  0.00002 |    0.00016 |
|  61 | module.features.denseblock3.denselayer12.conv1.weight | (128, 608, 1, 1)  |         77824 |          77824 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00079 | -0.00000 |    0.00009 |
|  62 | module.features.denseblock3.denselayer12.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00089 | -0.00001 |    0.00018 |
|  63 | module.features.denseblock3.denselayer13.conv1.weight | (128, 640, 1, 1)  |         81920 |          81920 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00068 |  0.00000 |    0.00007 |
|  64 | module.features.denseblock3.denselayer13.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00076 | -0.00001 |    0.00013 |
|  65 | module.features.denseblock3.denselayer14.conv1.weight | (128, 672, 1, 1)  |         86016 |          86016 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00063 |  0.00000 |    0.00004 |
|  66 | module.features.denseblock3.denselayer14.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00075 |  0.00001 |    0.00008 |
|  67 | module.features.denseblock3.denselayer15.conv1.weight | (128, 704, 1, 1)  |         90112 |          90112 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00053 |  0.00001 |    0.00004 |
|  68 | module.features.denseblock3.denselayer15.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00066 | -0.00000 |    0.00007 |
|  69 | module.features.denseblock3.denselayer16.conv1.weight | (128, 736, 1, 1)  |         94208 |          94208 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00052 | -0.00001 |    0.00004 |
|  70 | module.features.denseblock3.denselayer16.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00061 |  0.00001 |    0.00006 |
|  71 | module.features.denseblock3.denselayer17.conv1.weight | (128, 768, 1, 1)  |         98304 |          98304 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00063 | -0.00000 |    0.00005 |
|  72 | module.features.denseblock3.denselayer17.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00083 |  0.00000 |    0.00010 |
|  73 | module.features.denseblock3.denselayer18.conv1.weight | (128, 800, 1, 1)  |        102400 |         102400 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00054 | -0.00001 |    0.00004 |
|  74 | module.features.denseblock3.denselayer18.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00084 | -0.00002 |    0.00016 |
|  75 | module.features.denseblock3.denselayer19.conv1.weight | (128, 832, 1, 1)  |        106496 |         106496 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00050 | -0.00001 |    0.00002 |
|  76 | module.features.denseblock3.denselayer19.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00089 |  0.00001 |    0.00007 |
|  77 | module.features.denseblock3.denselayer20.conv1.weight | (128, 864, 1, 1)  |        110592 |         110592 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00067 | -0.00002 |    0.00008 |
|  78 | module.features.denseblock3.denselayer20.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00095 | -0.00002 |    0.00021 |
|  79 | module.features.denseblock3.denselayer21.conv1.weight | (128, 896, 1, 1)  |        114688 |         114688 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00042 | -0.00001 |    0.00003 |
|  80 | module.features.denseblock3.denselayer21.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00073 |  0.00003 |    0.00007 |
|  81 | module.features.denseblock3.denselayer22.conv1.weight | (128, 928, 1, 1)  |        118784 |         118784 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00048 | -0.00001 |    0.00003 |
|  82 | module.features.denseblock3.denselayer22.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00094 | -0.00001 |    0.00014 |
