parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.5.0.weight,0.1,69.57,89.072,1.2836479661331996,0.20400000000000418,2.2719999999999962,28.745943054204073,0.3520965278148651
module.basic_model.model.5.0.weight,0.15000000000000002,69.54599999999999,89.056,1.2834819093470546,0.19400000000000528,2.2279999999999966,28.78204692149879,0.3520965278148651
module.basic_model.model.5.0.weight,0.2,69.6,89.086,1.2838999495930363,0.19599999999999618,2.183999999999997,28.99610478040586,0.3520965278148651
module.basic_model.model.5.0.weight,0.25,69.448,89.042,1.2860305817632132,0.19200000000000328,2.2199999999999998,28.656772852706688,0.3520965278148651
module.basic_model.model.5.0.weight,0.30000000000000004,69.30199999999999,88.914,1.2926465680564116,0.20400000000000418,2.2159999999999958,28.305810227885264,0.3520965278148651
module.basic_model.model.5.0.weight,0.35000000000000003,68.694,88.446,1.317017092776468,0.21200000000000108,2.1299999999999986,28.182466374248992,0.3520965278148651
module.basic_model.model.5.0.weight,0.4,67.882,87.878,1.3513263619182516,0.17599999999999838,2.093999999999996,28.053699277107825,0.3520965278148651
module.basic_model.model.5.0.weight,0.45,67.144,87.154,1.3887874693803426,0.18399999999999528,2.1660000000000013,27.00143301372568,0.3520965278148651
module.basic_model.model.5.0.weight,0.5,66.09,86.578,1.4430794267035103,0.16199999999999548,1.9560000000000022,28.40096010768253,0.3520965278148651
module.basic_model.model.5.0.weight,0.55,57.75,80.238,1.8777788689101436,0.11600000000000499,1.1099999999999999,28.91316890869092,0.3520965278148651
module.basic_model.model.5.0.weight,0.6000000000000001,45.616,69.392,2.622668684253465,0.11600000000000499,0.8380000000000054,28.098339661984465,0.3520965278148651
module.basic_model.model.5.0.weight,0.65,36.448,59.646,3.354471424719648,0.11600000000000499,0.7220000000000004,28.49513191423276,0.3520965278148651
module.basic_model.model.5.0.weight,0.7000000000000001,15.203999999999995,31.445999999999998,5.797179943921863,0.07399999999999629,0.46000000000000485,28.313910320792075,0.3520965278148651
module.basic_model.model.5.0.weight,0.75,3.173999999999999,8.260000000000002,10.152578637375697,0.041999999999997595,0.24399999999999977,31.565941970468867,0.3520965278148651
module.basic_model.model.5.0.weight,0.8,2.8980000000000006,8.138000000000002,9.719209520769525,0.041999999999997595,0.21400000000000308,29.584469709195034,0.3520965278148651
module.basic_model.model.5.0.weight,0.8500000000000001,1.2839999999999963,4.015999999999997,10.306638204815014,0.0160000000000049,0.14199999999999768,24.394423070506118,0.3520965278148651
module.basic_model.model.5.0.weight,0.9,0.6340000000000012,2.3900000000000032,12.913717350438104,0.021999999999999797,0.10400000000000409,25.265214438630597,0.3520965278148651
module.basic_model.model.5.3.weight,0.0,69.57,89.072,1.2836479661331996,0.20000000000000018,2.293999999999996,28.774535638585913,0.2758873403072357
module.basic_model.model.5.3.weight,0.05,69.57,89.072,1.2836479661331996,0.19599999999999618,2.292000000000005,28.762815880607665,0.2758873403072357
module.basic_model.model.5.3.weight,0.1,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2499999999999964,28.760339108477474,0.2758873403072357
module.basic_model.model.5.3.weight,0.15000000000000002,69.57,89.072,1.2836479661331996,0.20200000000000218,2.292000000000005,28.749124160273563,0.2758873403072357
module.basic_model.model.5.3.weight,0.2,69.57,89.072,1.2836479661331996,0.20200000000000218,2.2780000000000022,28.76276854224028,0.2758873403072357
module.basic_model.model.5.3.weight,0.25,69.57,89.072,1.2836479661331996,0.20599999999999508,2.2739999999999982,28.75084179483465,0.2758873403072357
module.basic_model.model.5.3.weight,0.30000000000000004,69.57,89.072,1.2836479031726948,0.19799999999999818,2.2499999999999964,28.74559570868965,0.2758873403072357
module.basic_model.model.5.3.weight,0.35000000000000003,69.56400000000001,89.046,1.2836540971745007,0.19599999999999618,2.2560000000000024,28.76872247011329,0.2758873403072357
module.basic_model.model.5.3.weight,0.4,69.54199999999999,89.046,1.284937206476983,0.19799999999999818,2.2580000000000044,28.805586919827267,0.2758873403072357
