Name,Shape,NNZ (dense),NNZ (sparse),Cols (%),Rows (%),Ch (%),2D (%),3D (%),Fine (%),Std,Mean,Abs-Mean
module.Mixed_7b.branch3x3_2a.conv.weight,"(384, 384, 1, 3)",442368,442368,0,0,0.0,0.0,0.0,0.0,3.5510718589648604e-05,-1.330612349192961e-07,2.8648224542848766e-05
module.Mixed_7b.branch3x3_2b.conv.weight,"(384, 384, 3, 1)",442368,442368,0,0,0.0,0.0,0.0,0.0,3.640284558059648e-05,-6.135203989288129e-07,2.935699376394041e-05
module.Mixed_7b.branch3x3dbl_1.conv.weight,"(448, 1280, 1, 1)",573440,573440,0,0,0.0,0.0,0.0,0.0,0.0012874879175797105,-5.9818448789883405e-05,0.0001998425868805498
module.Mixed_7b.branch3x3dbl_2.conv.weight,"(384, 448, 3, 3)",1548288,1548288,0,0,0.0,0.0,0.0,0.0,0.00085470947669819,-1.9171991880284622e-05,0.00032476356136612594
module.Mixed_7b.branch3x3dbl_3a.conv.weight,"(384, 384, 1, 3)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.001228824257850647,7.246761697388138e-07,0.0005454792408272624
module.Mixed_7b.branch3x3dbl_3b.conv.weight,"(384, 384, 3, 1)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.0014311546692624688,-1.0768322766807614e-07,0.0006366379093378782
module.Mixed_7b.branch_pool.conv.weight,"(192, 1280, 1, 1)",245760,245760,0,0,0.0,0.0,0.0,0.0,3.8013706216588616e-05,-2.291673581567011e-06,2.8267710149521008e-05
module.Mixed_7c.branch1x1.conv.weight,"(320, 2048, 1, 1)",655360,655360,0,0,0.0,0.0,0.0,0.0,0.0004614451027009636,8.904521564545576e-06,0.0001749245129758492
module.Mixed_7c.branch3x3_1.conv.weight,"(384, 2048, 1, 1)",786432,786432,0,0,0.0,0.0,0.0,0.0,0.0013142485404387116,2.120881799783092e-05,0.00037261247052811086
module.Mixed_7c.branch3x3_2a.conv.weight,"(384, 384, 1, 3)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.0016915163723751903,0.00021193231805227697,0.0007784749031998217
module.Mixed_7c.branch3x3_2b.conv.weight,"(384, 384, 3, 1)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.0017257971921935678,0.0002159474533982575,0.0007867083768360317
module.Mixed_7c.branch3x3dbl_1.conv.weight,"(448, 2048, 1, 1)",917504,917504,0,0,0.0,0.0,0.0,0.0,0.0010080250212922692,-3.067685247515328e-05,0.00030661706114187837
module.Mixed_7c.branch3x3dbl_2.conv.weight,"(384, 448, 3, 3)",1548288,1548288,0,0,0.0,0.0,0.0,0.0,0.0009539150050841272,3.1788738851901144e-05,0.0004644892178475857
module.Mixed_7c.branch3x3dbl_3a.conv.weight,"(384, 384, 1, 3)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.001929265446960926,0.00028441977337934077,0.0010326161282137036
module.Mixed_7c.branch3x3dbl_3b.conv.weight,"(384, 384, 3, 1)",442368,442368,0,0,0.0,0.0,0.0,0.0,0.0019504302181303501,0.0002912350173573941,0.0010477120522409678
module.Mixed_7c.branch_pool.conv.weight,"(192, 2048, 1, 1)",393216,393216,0,0,0.0,0.0,0.0,0.0,0.00030839876853860915,1.3333169590623584e-05,0.00012808511382900178
module.fc.weight,"(10, 2048)",20480,20480,0.0,0.0,0.0,0.0,0.0,0.0,0.0324624739587307,9.900065123247259e-08,0.018240436911582947
Total sparsity:,-,21604928,21604928,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
