parameter,sparsity,top1,top5,loss,variance
module.layer1.1.conv2.weight,0.25,76.128,92.866,0.9630287414302631,0.028810374438762665
module.layer1.1.conv2.weight,0.30000000000000004,76.098,92.86999999999999,0.9641409808275655,0.028810374438762665
module.layer1.1.conv2.weight,0.35000000000000003,76.112,92.876,0.9619706187929427,0.028810374438762665
module.layer1.1.conv2.weight,0.4,76.114,92.848,0.9620733370586321,0.028810374438762665
module.layer1.1.conv2.weight,0.45,76.05199999999999,92.868,0.9617666751146321,0.028810374438762665
module.layer1.1.conv2.weight,0.5,76.08200000000001,92.872,0.9627537605713825,0.028810374438762665
module.layer1.1.conv2.weight,0.55,76.106,92.878,0.9623545803585829,0.028810374438762665
module.layer1.1.conv2.weight,0.6000000000000001,76.086,92.85799999999999,0.9634624944657698,0.028810374438762665
module.layer1.1.conv2.weight,0.65,76.064,92.85600000000001,0.9639674096691366,0.028810374438762665
module.layer1.1.conv2.weight,0.7000000000000001,75.964,92.78800000000001,0.9653646827352288,0.028810374438762665
module.layer1.1.conv2.weight,0.75,75.958,92.806,0.966272307901966,0.028810374438762665
module.layer1.1.conv2.weight,0.8,75.858,92.78999999999999,0.9703788073087225,0.028810374438762665
module.layer1.1.conv2.weight,0.8500000000000001,75.79400000000001,92.744,0.9796968379190991,0.028810374438762665
module.layer1.1.conv2.weight,0.9,75.432,92.592,0.9927373756559529,0.028810374438762665
module.layer1.1.conv3.weight,0.0,76.13,92.862,0.9621952626169938,0.0325404591858387
module.layer1.1.conv3.weight,0.05,76.128,92.862,0.9612912584324275,0.0325404591858387
module.layer1.1.conv3.weight,0.1,76.134,92.866,0.9613048361272226,0.0325404591858387
module.layer1.1.conv3.weight,0.15000000000000002,76.126,92.86,0.9602131767540564,0.0325404591858387
module.layer1.1.conv3.weight,0.2,76.128,92.86,0.962374037929944,0.0325404591858387
module.layer1.1.conv3.weight,0.25,76.116,92.852,0.9618574712349443,0.0325404591858387
module.layer1.1.conv3.weight,0.30000000000000004,76.106,92.868,0.9631597554805327,0.0325404591858387
module.layer1.1.conv3.weight,0.35000000000000003,76.12,92.866,0.9605506123328694,0.0325404591858387
module.layer1.1.conv3.weight,0.4,76.114,92.876,0.9610675907864862,0.0325404591858387
module.layer1.1.conv3.weight,0.45,76.12,92.866,0.9604114865770146,0.0325404591858387
module.layer1.1.conv3.weight,0.5,76.13799999999999,92.886,0.9599236639178527,0.0325404591858387
module.layer1.1.conv3.weight,0.55,76.114,92.888,0.9625063508140796,0.0325404591858387
module.layer1.1.conv3.weight,0.6000000000000001,76.078,92.906,0.9620546519148104,0.0325404591858387
module.layer1.1.conv3.weight,0.65,76.058,92.9,0.9625545232271666,0.0325404591858387
module.layer1.1.conv3.weight,0.7000000000000001,76.05,92.852,0.9627139911967879,0.0325404591858387
module.layer1.1.conv3.weight,0.75,76.03,92.78,0.9649865882737294,0.0325404591858387
module.layer1.1.conv3.weight,0.8,75.98,92.764,0.9676512038829373,0.0325404591858387
module.layer1.1.conv3.weight,0.8500000000000001,75.774,92.688,0.9767309676627718,0.0325404591858387
module.layer1.1.conv3.weight,0.9,75.638,92.638,0.9797780522886588,0.0325404591858387
module.layer1.2.conv1.weight,0.0,76.13,92.862,0.9624056454215729,0.03008028119802475
module.layer1.2.conv1.weight,0.05,76.132,92.862,0.9633099968944276,0.03008028119802475
module.layer1.2.conv1.weight,0.1,76.132,92.862,0.9617440974225804,0.03008028119802475
module.layer1.2.conv1.weight,0.15000000000000002,76.132,92.864,0.9611541221336436,0.03008028119802475
module.layer1.2.conv1.weight,0.2,76.13799999999999,92.862,0.9618245062171199,0.03008028119802475
module.layer1.2.conv1.weight,0.25,76.116,92.862,0.9619419994402905,0.03008028119802475
module.layer1.2.conv1.weight,0.30000000000000004,76.104,92.868,0.9622108592670795,0.03008028119802475
module.layer1.2.conv1.weight,0.35000000000000003,76.086,92.874,0.9613686352968218,0.03008028119802475
module.layer1.2.conv1.weight,0.4,76.054,92.894,0.962224904675873,0.03008028119802475
module.layer1.2.conv1.weight,0.45,76.028,92.866,0.9631368654723068,0.03008028119802475
module.layer1.2.conv1.weight,0.5,75.964,92.882,0.9634475799239415,0.03008028119802475
