parameter,sparsity,top1,top5,loss,variance
module.layer3.0.conv2.weight,0.6000000000000001,92.01,99.76,0.27781640216708176,0.0013695914531126618
module.layer3.0.conv2.weight,0.65,91.85,99.76,0.28417708352208143,0.0013695914531126618
module.layer3.0.conv2.weight,0.7000000000000001,91.89,99.75,0.27945422716438767,0.0013695914531126618
module.layer3.0.conv2.weight,0.75,91.78,99.72999999999999,0.2783092755824328,0.0013695914531126618
module.layer3.0.conv2.weight,0.8,91.68,99.74,0.28083008155226713,0.0013695914531126618
module.layer3.0.conv2.weight,0.8500000000000001,91.43,99.72999999999999,0.282397199049592,0.0013695914531126618
module.layer3.0.conv2.weight,0.9,90.84,99.66000000000001,0.30132074654102325,0.0013695914531126618
module.layer3.0.conv3.weight,0.0,92.12,99.74,0.2772502146661281,0.0013086897088214755
module.layer3.0.conv3.weight,0.05,92.12,99.74,0.27082774043083196,0.0013086897088214755
module.layer3.0.conv3.weight,0.1,92.12,99.74,0.2732709240168333,0.0013086897088214755
module.layer3.0.conv3.weight,0.15000000000000002,92.12,99.74,0.2756447367370129,0.0013086897088214755
module.layer3.0.conv3.weight,0.2,92.12,99.74,0.27386228740215307,0.0013086897088214755
module.layer3.0.conv3.weight,0.25,92.12,99.74,0.27122640348970883,0.0013086897088214755
module.layer3.0.conv3.weight,0.30000000000000004,92.12,99.74,0.2757656902074815,0.0013086897088214755
module.layer3.0.conv3.weight,0.35000000000000003,92.12,99.74,0.2763586454093457,0.0013086897088214755
module.layer3.0.conv3.weight,0.4,92.12,99.74,0.2808179520070552,0.0013086897088214755
module.layer3.0.conv3.weight,0.45,92.12,99.74,0.27548772916197783,0.0013086897088214755
module.layer3.0.conv3.weight,0.5,92.14,99.74,0.27391265295445916,0.0013086897088214755
module.layer3.0.conv3.weight,0.55,92.13,99.74,0.2711843010038138,0.0013086897088214755
module.layer3.0.conv3.weight,0.6000000000000001,92.09,99.74,0.2734345477074384,0.0013086897088214755
module.layer3.0.conv3.weight,0.65,92.11,99.74,0.2780426926910878,0.0013086897088214755
module.layer3.0.conv3.weight,0.7000000000000001,92.11,99.74,0.2705243345350027,0.0013086897088214755
module.layer3.0.conv3.weight,0.75,92.11,99.74,0.27952631227672103,0.0013086897088214755
module.layer3.0.conv3.weight,0.8,92.07,99.74,0.27704184129834175,0.0013086897088214755
module.layer3.0.conv3.weight,0.8500000000000001,92.14,99.74,0.2704470094293356,0.0013086897088214755
module.layer3.0.conv3.weight,0.9,92.07,99.72999999999999,0.27403538189828386,0.0013086897088214755
module.layer3.0.downsample.0.weight,0.0,92.12,99.74,0.27546258755028247,0.000770131649915129
module.layer3.0.downsample.0.weight,0.05,92.12,99.74,0.2858876168727876,0.000770131649915129
module.layer3.0.downsample.0.weight,0.1,92.12,99.74,0.2764526139944791,0.000770131649915129
